SQLDATE,GoldsteinScale,stability_score,score,status,month
2025-02-13,0.303125,0.303125,45.75452881546837,Tension,2025-02
2025-02-14,1.84,1.84,60.006758025154866,Tension,2025-02
2025-02-15,1.682608695652174,1.682608695652174,58.54718782902523,Tension,2025-02
2025-02-16,0.3333333333333333,0.3333333333333333,46.034666166072206,Tension,2025-02
2025-02-17,-0.09285714285714265,-0.09285714285714265,42.082383544745106,Tension,2025-02
2025-02-18,1.9749999999999999,1.9749999999999999,61.2586821850948,Tension,2025-02
2025-02-19,-1.0785714285714287,-1.0785714285714287,32.94134999597737,Crise,2025-02
2025-02-20,0.5619047619047619,0.5619047619047619,48.15432611940965,Tension,2025-02
2025-02-21,1.0733333333333335,1.0733333333333335,52.89706526500219,Tension,2025-02
2025-02-22,-0.725,-0.725,36.220198986296225,Crise,2025-02
2025-02-23,-0.7714285714285715,-0.7714285714285715,35.789643058274564,Crise,2025-02
2025-02-24,-1.28,-1.28,31.07339966209874,Crise,2025-02
2025-02-25,-1.2375,-1.2375,31.46752393467243,Crise,2025-02
2025-02-26,-1.2650000000000001,-1.2650000000000001,31.21250234653651,Crise,2025-02
2025-02-27,-0.43333333333333335,-0.43333333333333335,38.92497340591953,Crise,2025-02
2025-02-28,1.169230769230769,1.169230769230769,53.786371315937686,Tension,2025-02
2025-03-01,-0.8,-0.8,35.52468556410738,Crise,2025-03
2025-03-02,1.3588235294117648,1.3588235294117648,55.54456210868052,Tension,2025-03
2025-03-03,-3.792,-3.792,7.778336774920223,Crise,2025-03
2025-03-04,-0.7214285714285714,-0.7214285714285714,36.25331867306713,Crise,2025-03
2025-03-05,0.4869565217391304,0.4869565217391304,47.45929269268125,Tension,2025-03
2025-03-06,1.5,1.5,56.85376384456542,Tension,2025-03
2025-03-07,0.9878787878787879,0.9878787878787879,52.10460148699308,Tension,2025-03
2025-03-08,-1.894736842105263,-1.894736842105263,25.37262999812278,Crise,2025-03
2025-03-09,0.325,0.325,45.95738689694012,Tension,2025-03
2025-03-10,1.2761904761904763,1.2761904761904763,54.77826347358917,Tension,2025-03
2025-03-11,-0.8333333333333334,-0.8333333333333334,35.215568487579,Crise,2025-03
2025-03-12,1.3624999999999998,1.3624999999999998,55.57865590388586,Tension,2025-03
2025-03-13,3.1,3.1,71.69138351792755,Stable,2025-03
2025-03-14,3.0461538461538464,3.0461538461538464,71.19204054815094,Stable,2025-03
2025-03-15,1.4888888888888887,1.4888888888888887,56.75072481905596,Tension,2025-03
2025-03-16,0.15999999999999998,0.15999999999999998,44.42725736812465,Tension,2025-03
2025-03-17,2.5300000000000002,2.5300000000000002,66.40548150929229,Tension,2025-03
2025-03-18,-1.05625,-1.05625,33.14834803829548,Crise,2025-03
2025-03-19,2.2666666666666666,2.2666666666666666,63.963456604718104,Tension,2025-03
2025-03-20,0.7999999999999999,0.7999999999999999,50.36230523746949,Tension,2025-03
